
==== continuation stage 1000 K (fresh SAD seed) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.257561183597  -2.225756e+01   1.131340e-01   1.000000e+00   0.40000 -0.40000      0       0 0
   2   -22.265448688116  -7.887505e-03   7.382162e-02   5.999968e-01   1.00880 -1.00880      0       0 0
   3   -21.260089375728   1.005359e+00   1.650914e-01   2.020181e+00   1.03298 -1.03298      0       0 0
   4   -21.002993332008   2.570960e-01   1.806206e-01   2.235364e+00   1.08447 -1.08447      0       0 0
   5   -11.834226948456   9.168766e+00   4.250886e-01   5.437431e+00   0.47539 -0.47539      0       0 0
   6   -22.253577173729  -1.041935e+01   5.058201e-02   5.245975e-01   0.61790 -0.61790      0       0 0
   7   -22.259836224243  -6.259051e-03   3.584213e-02   3.820843e-01   0.72052 -0.72052      0       0 0
   8   -22.262694020780  -2.857797e-03   2.613614e-02   2.782173e-01   0.86142 -0.86142      0       0 0
   9   -21.380984737853   8.817093e-01   1.458728e-01   1.789338e+00   0.74123 -0.74123      0       0 0
  10   -22.263602351996  -8.826176e-01   2.353191e-02   2.537964e-01   0.77216 -0.77216      0       0 0
  11   -22.267597464361  -3.995112e-03   1.776241e-02   1.898078e-01   0.79666 -0.79666      0       0 0
  12   -22.274913231820  -7.315767e-03   4.690948e-03   4.368378e-02   0.80607 -0.80607      0       0 0
  13   -22.271742413708   3.170818e-03   9.220413e-03   1.179239e-01   0.80519 -0.80519      0       0 0
  14   -22.272705007049  -9.625933e-04   7.773831e-03   9.944901e-02   0.82206 -0.82206      0       0 0
  15   -22.204203004891   6.850200e-02   4.372152e-02   5.327651e-01   0.80674 -0.80674      0       0 0
  16   -22.271686482551  -6.748348e-02   9.784833e-03   1.193292e-01   0.80767 -0.80767      0       0 0
  17   -22.270520317820   1.166165e-03   1.134786e-02   1.382363e-01   0.80057 -0.80057      0       0 0
  18   -22.274961525088  -4.441207e-03   1.473971e-03   1.795144e-02   0.80084 -0.80084      0       0 0
  19   -22.274925189867   3.633522e-05   1.796830e-03   2.189229e-02   0.80007 -0.80007      0       0 0
  20   -22.275008341769  -8.315190e-05   8.966804e-04   1.093521e-02   0.79942 -0.79942      0       0 0
  21   -22.275034754988  -2.641322e-05   1.787911e-04   2.180385e-03   0.79924 -0.79924      0       0 0
  22   -22.275035836646  -1.081659e-06   1.568970e-05   1.904049e-04   0.79924 -0.79924      0       0 0
  23   -22.275035833204   3.442342e-09   1.858967e-05   2.265299e-04   0.79925 -0.79925      0       0 0
  24   -22.275035844236  -1.103191e-08   4.633649e-06   5.637854e-05   0.79926 -0.79926      0       0 0
  25   -22.275035844965  -7.288357e-10   7.713227e-08   9.063838e-07   0.79926 -0.79926      0       0 1

==== continuation stage 850 K (seeded from prior converged state) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.273065785937  -2.227307e+01   6.113320e-03   7.446433e-02   0.82904 -0.82904      0       0 0
   2   -22.017485039771   2.555807e-01   8.085740e-02   9.781162e-01   0.80151 -0.80151      0       0 0
   3   -22.273774397486  -2.562894e-01   4.008955e-03   4.891789e-02   0.80302 -0.80302      0       0 0
   4   -22.274110307932  -3.359104e-04   2.465486e-03   3.011684e-02   0.80568 -0.80568      0       0 0
   5   -22.274305287065  -1.949791e-04   5.698298e-04   6.915349e-03   0.80527 -0.80527      0       0 0
   6   -22.274316340087  -1.105302e-05   4.356740e-05   5.170872e-04   0.80522 -0.80522      0       0 0
   7   -22.274316387474  -4.738702e-08   2.130472e-05   2.600440e-04   0.80524 -0.80524      0       0 0
   8   -22.274316402890  -1.541540e-08   1.992028e-06   2.175957e-05   0.80523 -0.80523      0       0 0
   9   -22.274316402491   3.982557e-10   3.882902e-06   4.694968e-05   0.80524 -0.80524      0       0 0
  10   -22.274316402984  -4.924559e-10   7.405605e-07   9.148913e-06   0.80525 -0.80525      0       0 1

==== continuation stage 700 K (seeded from prior converged state) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.271987727793  -2.227199e+01   6.956324e-03   8.473653e-02   0.83914 -0.83914      0       0 0
   2   -21.644968804104   6.270189e-01   1.234724e-01   1.496746e+00   0.80716 -0.80716      0       0 0
   3   -22.272742151153  -6.277733e-01   5.072302e-03   6.186032e-02   0.80860 -0.80860      0       0 0
   4   -22.273199741104  -4.575900e-04   3.484150e-03   4.252779e-02   0.81192 -0.81192      0       0 0
   5   -22.273588791900  -3.890508e-04   8.402309e-04   1.019376e-02   0.81140 -0.81140      0       0 0
   6   -22.273613021075  -2.422918e-05   5.595735e-05   6.626412e-04   0.81135 -0.81135      0       0 0
   7   -22.273613116579  -9.550423e-08   1.559110e-05   1.921948e-04   0.81137 -0.81137      0       0 0
   8   -22.273613123228  -6.649145e-09   7.216769e-06   8.736426e-05   0.81136 -0.81136      0       0 0
   9   -22.273613123263  -3.453238e-11   7.147469e-06   8.633963e-05   0.81136 -0.81136      0       0 0
  10   -22.273613124936  -1.673062e-09   1.391337e-06   1.690000e-05   0.81136 -0.81136      0       0 0
  11   -22.273613124925   1.061906e-11   1.499588e-06   1.825140e-05   0.81136 -0.81136      0       0 0
  12   -22.273613125002  -7.702639e-11   7.663735e-08   9.201418e-07   0.81136 -0.81136      0       0 1

==== continuation stage 550 K (seeded from prior converged state) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.270712624191  -2.227071e+01   8.104975e-03   9.872793e-02   0.85085 -0.85085      0       0 0
   2   -21.313526480506   9.571861e-01   1.507513e-01   1.828135e+00   0.81348 -0.81348      0       0 0
   3   -22.271759589844  -9.582331e-01   5.855475e-03   7.141314e-02   0.81507 -0.81507      0       0 0
   4   -22.272416876420  -6.572866e-04   3.855624e-03   4.706898e-02   0.81826 -0.81826      0       0 0
   5   -22.272880503938  -4.636275e-04   1.152230e-03   1.398513e-02   0.81762 -0.81762      0       0 0
   6   -22.272926580290  -4.607635e-05   3.075224e-05   3.835232e-04   0.81766 -0.81766      0       0 0
   7   -22.272926575366   4.923994e-09   3.360388e-05   4.005390e-04   0.81765 -0.81765      0       0 0
   8   -22.272926612976  -3.761043e-08   4.164969e-06   4.880646e-05   0.81764 -0.81764      0       0 0
   9   -22.272926612473   5.027729e-10   5.601913e-06   6.732957e-05   0.81765 -0.81765      0       0 0
  10   -22.272926613376  -9.030003e-10   2.171372e-06   2.650697e-05   0.81764 -0.81764      0       0 0
  11   -22.272926613511  -1.351843e-10   9.029699e-07   1.095882e-05   0.81765 -0.81765      0       0 1

==== continuation stage 400 K (seeded from prior converged state) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.269103655793  -2.226910e+01   9.661380e-03   1.176917e-01   0.86473 -0.86473      0       0 0
   2   -21.282077959840   9.870257e-01   1.538816e-01   1.864663e+00   0.82061 -0.82061      0       0 0
   3   -22.270949829106  -9.888719e-01   6.172543e-03   7.531733e-02   0.82256 -0.82256      0       0 0
   4   -22.271946712893  -9.968838e-04   2.993762e-03   3.659974e-02   0.82460 -0.82460      0       0 0
   5   -22.272203133556  -2.564207e-04   1.246834e-03   1.513999e-02   0.82401 -0.82401      0       0 0
   6   -22.272256438474  -5.330492e-05   1.755502e-04   2.155920e-03   0.82412 -0.82412      0       0 0
   7   -22.272257332742  -8.942683e-07   7.502775e-05   9.043120e-04   0.82410 -0.82410      0       0 0
   8   -22.272257526639  -1.938968e-07   4.198465e-06   4.793090e-05   0.82409 -0.82409      0       0 0
   9   -22.272257525988   6.513439e-10   5.927915e-06   7.140854e-05   0.82410 -0.82410      0       0 0
  10   -22.272257527111  -1.122846e-09   1.573740e-06   1.882128e-05   0.82409 -0.82409      0       0 0
  11   -22.272257527177  -6.674128e-11   6.913089e-07   8.226448e-06   0.82410 -0.82410      0       0 1

==== continuation stage 300 K (seeded from prior converged state) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.269192371070  -2.226919e+01   8.761885e-03   1.067354e-01   0.86680 -0.86680      0       0 0
   2   -21.281352524550   9.878398e-01   1.539756e-01   1.866771e+00   0.82653 -0.82653      0       0 0
   3   -22.271055601985  -9.897031e-01   4.695308e-03   5.729805e-02   0.82790 -0.82790      0       0 0
   4   -22.271741132375  -6.855304e-04   1.514825e-03   1.854797e-02   0.82865 -0.82865      0       0 0
   5   -22.271812662272  -7.152990e-05   5.023724e-04   6.087068e-03   0.82847 -0.82847      0       0 0
   6   -22.271821387826  -8.725554e-06   5.727459e-05   7.074139e-04   0.82850 -0.82850      0       0 0
   7   -22.271821495315  -1.074886e-07   1.700990e-05   2.026301e-04   0.82850 -0.82850      0       0 0
   8   -22.271821505179  -9.864308e-09   9.775941e-07   8.161190e-06   0.82850 -0.82850      0       0 1
