
==== T = 300 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.257561183597  -2.225756e+01   1.131340e-01   1.000000e+00   0.40000 -0.40000      0       0 0
   2   -22.265448688083  -7.887504e-03   7.382162e-02   5.999968e-01   1.00880 -1.00880      0       0 0
   3   -21.265583245065   9.998654e-01   1.643132e-01   2.008815e+00   1.03233 -1.03233      0       0 0
   4   -21.260538801065   5.044444e-03   1.661923e-01   2.032368e+00   0.40517 -0.40517      0       0 0
   5   -22.250473907802  -9.899351e-01   5.054344e-02   5.948286e-01   0.50382 -0.50382      0       0 0
   6   -22.255882414607  -5.408507e-03   4.117759e-02   4.961686e-01   0.61025 -0.61025      0       0 0
   7   -22.259579869237  -3.697455e-03   3.235887e-02   3.897427e-01   0.75496 -0.75496      0       0 0
   8   -22.263278987045  -3.699118e-03   2.015161e-02   2.450234e-01   0.83034 -0.83034      0       0 0
   9   -22.269761382214  -6.482395e-03   7.591231e-03   9.219259e-02   0.83427 -0.83427      0       0 0
  10   -22.239058489619   3.070289e-02   2.976858e-02   3.626750e-01   0.78987 -0.78987      0       0 0
  11   -22.263910632483  -2.485214e-02   1.724571e-02   2.100804e-01   0.82002 -0.82002      0       0 0
  12   -22.266704008153  -2.793376e-03   1.237257e-02   1.507767e-01   0.86464 -0.86464      0       0 0
  13   -21.289726115674   9.769779e-01   1.530458e-01   1.864544e+00   0.62387 -0.62387      0       0 0
  14   -22.260083565669  -9.703574e-01   3.092062e-02   3.761236e-01   0.71722 -0.71722      0       0 0
  15   -22.262522580912  -2.439015e-03   2.319247e-02   2.827693e-01   0.75746 -0.75746      0       0 0
  16   -22.263340876785  -8.182959e-04   1.989105e-02   2.425386e-01   0.78933 -0.78933      0       0 0
  17   -22.263902772765  -5.618960e-04   1.727790e-02   2.106289e-01   0.82610 -0.82610      0       0 0
  18   -22.270715384607  -6.812612e-03   5.646263e-03   6.883675e-02   0.82163 -0.82163      0       0 0
  19   -22.267542006110   3.173378e-03   1.126005e-02   1.372099e-01   0.84068 -0.84068      0       0 0
  20   -21.921603151019   3.459389e-01   9.357969e-02   1.139986e+00   0.67400 -0.67400      0       0 0
  21   -22.261480420480  -3.398773e-01   2.676565e-02   3.259972e-01   0.76801 -0.76801      0       0 0
  22   -22.263532183037  -2.051763e-03   1.903699e-02   2.319812e-01   0.81943 -0.81943      0       0 0
  23   -22.266438423830  -2.906241e-03   1.271993e-02   1.549334e-01   0.83942 -0.83942      0       0 0
  24   -22.024367757592   2.420707e-01   7.932012e-02   9.663024e-01   0.63335 -0.63335      0       0 0
  25   -22.260374778620  -2.360070e-01   3.010475e-02   3.666378e-01   0.74595 -0.74595      0       0 0
  26   -22.263118738246  -2.743960e-03   2.084482e-02   2.540480e-01   0.79741 -0.79741      0       0 0
  27   -22.264047213999  -9.284758e-04   1.660977e-02   2.023712e-01   0.83508 -0.83508      0       0 0
  28   -22.225814976288   3.823224e-02   3.516625e-02   4.284063e-01   0.69636 -0.69636      0       0 0
  29   -22.262037385960  -3.622241e-02   2.492172e-02   3.036325e-01   0.81078 -0.81078      0       0 0
  30   -22.264590030333  -2.552644e-03   1.520523e-02   1.852204e-01   0.84614 -0.84614      0       0 0
  31   -21.463866904590   8.007231e-01   1.386837e-01   1.689567e+00   0.43372 -0.43372      0       0 0
  32   -22.252954346488  -7.890874e-01   4.655830e-02   5.662607e-01   0.64513 -0.64513      0       0 0
  33   -22.260759122395  -7.804776e-03   2.909519e-02   3.548693e-01   0.75016 -0.75016      0       0 0
  34   -22.263210025108  -2.450903e-03   2.048333e-02   2.498351e-01   0.82123 -0.82123      0       0 0
