
==== T = 500 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.257561183597  -2.225756e+01   1.131340e-01   1.000000e+00   0.40000 -0.40000      0       0 0
   2   -22.265448688083  -7.887504e-03   7.382162e-02   5.999968e-01   1.00880 -1.00880      0       0 0
   3   -21.267991032052   9.974577e-01   1.642989e-01   2.008826e+00   1.03234 -1.03234      0       0 0
   4   -21.257652663250   1.033837e-02   1.664780e-01   2.036655e+00   0.52296 -0.52296      0       0 0
   5   -22.256257712696  -9.986050e-01   4.185713e-02   4.770334e-01   0.54624 -0.54624      0       0 0
   6   -22.257339959304  -1.082247e-03   3.826775e-02   4.537545e-01   0.62597 -0.62597      0       0 0
   7   -22.260044885735  -2.704926e-03   3.127206e-02   3.740220e-01   0.75907 -0.75907      0       0 0
   8   -22.263370756475  -3.325871e-03   1.974194e-02   2.408498e-01   0.81796 -0.81796      0       0 0
   9   -22.272439019206  -9.068263e-03   2.746336e-03   3.384462e-02   0.84818 -0.84818      0       0 0
  10   -21.482379551172   7.900595e-01   1.375582e-01   1.676010e+00   0.62525 -0.62525      0       0 0
  11   -22.260134603232  -7.777551e-01   3.076830e-02   3.747408e-01   0.69193 -0.69193      0       0 0
  12   -22.261944014158  -1.809411e-03   2.526831e-02   3.080556e-01   0.74306 -0.74306      0       0 0
  13   -22.263061488198  -1.117474e-03   2.107950e-02   2.569219e-01   0.82597 -0.82597      0       0 0
  14   -22.263236755483  -1.752673e-04   1.622391e-02   1.977084e-01   0.77813 -0.77813      0       0 0
  15   -22.263800908526  -5.641530e-04   1.813911e-02   2.210201e-01   0.82909 -0.82909      0       0 0
  16   -22.242016953900   2.178395e-02   2.892100e-02   3.523485e-01   0.77296 -0.77296      0       0 0
  17   -22.263665980858  -2.164903e-02   1.859978e-02   2.266092e-01   0.81918 -0.81918      0       0 0
  18   -22.272659052730  -8.993072e-03   1.109465e-03   1.345524e-02   0.81663 -0.81663      0       0 0
  19   -22.271846236146   8.128166e-04   4.997210e-03   6.086121e-02   0.82386 -0.82386      0       0 0
  20   -22.269437322232   2.408914e-03   9.582765e-03   1.167541e-01   0.81204 -0.81204      0       0 0
  21   -22.269499453508  -6.213128e-05   9.776204e-03   1.190977e-01   0.82442 -0.82442      0       0 0
  22   -22.268191059280   1.308394e-03   1.124749e-02   1.370307e-01   0.81258 -0.81258      0       0 0
  23   -22.269777124324  -1.586065e-03   9.329773e-03   1.136620e-01   0.82159 -0.82159      0       0 0
  24   -22.272205889492  -2.428765e-03   3.756884e-03   4.577299e-02   0.81817 -0.81817      0       0 0
  25   -22.272436427392  -2.305379e-04   2.771445e-03   3.376243e-02   0.82046 -0.82046      0       0 0
  26   -22.272639857297  -2.034299e-04   1.329780e-03   1.620210e-02   0.81968 -0.81968      0       0 0
  27   -22.272700461363  -6.060407e-05   1.820932e-04   2.217943e-03   0.81977 -0.81977      0       0 0
  28   -22.272701614310  -1.152946e-06   4.735485e-07   5.021333e-06   0.81977 -0.81977      0       0 0
  29   -22.272701614316  -6.082246e-12   1.221213e-07   8.374848e-07   0.81978 -0.81978      0       0 1
